wave,flux
4060.016,0.9985215
4060.977,0.9983176
4061.938,0.9873748
4062.899,0.9812859
4063.861,0.9772123
4064.822,0.9649824
4065.783,0.9610754
4066.744,0.9674428
4067.705,0.9640926
4068.666,0.9788944
4069.627,1.009037
4070.589,1.010786
4071.55,0.9986325
4072.511,0.9849772
4073.472,0.9742189
4074.433,0.9728529
4075.394,0.9837261
4076.355,0.9839817
4077.316,0.9987913
4078.278,1.006819
4079.239,1.008355
4080.2,1.000954
4081.161,0.9863577
4082.122,0.9766
4083.083,0.9735769
4084.044,0.96916
4085.006,0.9819894
4085.967,0.99511
4086.928,1.007366
4087.889,1.02277
4088.85,1.035208
4089.811,1.032876
4090.772,1.028376
4091.733,1.023442
4092.695,1.004993
4093.656,0.9976053
4094.617,0.9949174
4095.578,0.9846398
4096.539,0.963666
4097.5,0.9450668
4098.461,0.9116796
4099.423,0.8937593
4100.384,0.8852164
4101.345,0.8610386
4102.306,0.8474688
4103.267,0.8675019
4104.229,0.8997794
4105.189,0.9496924
4106.15,0.973895
4107.112,0.9816661
4108.073,0.9810109
4109.034,1.005013
4109.995,1.014422
4110.956,1.016907
4111.917,1.012593
4112.878,1.028491
4113.84,1.036862
4114.801,1.035597
4115.762,1.020517
4116.723,1.018131
4117.684,1.015318
4118.646,1.016788
4119.606,1.004282
4120.567,1.003661
4121.529,1.016827
4122.49,1.020229
4123.451,1.010369
4124.412,1.011199
4125.373,1.011598
4126.334,1.005265
4127.295,1.005923
4128.257,1.004045
4129.218,0.997848
4130.179,0.9867285
4131.14,0.983909
4132.101,0.9883063
4133.062,0.9883102
4134.023,0.9842907
4134.984,0.9908522
4135.946,1.008157
4136.907,1.002568
4137.868,0.9979303
4138.829,0.9986945
4139.79,1.001235
4140.751,0.9941757
4141.712,1.003005
4142.674,1.000754
4143.635,0.9930769
4144.596,0.9842306
4145.557,0.9941146
4146.518,0.9903075
4147.479,0.9852917
4148.44,0.9947175
4149.401,0.9905782
4150.363,0.97528
4151.324,0.9767989
4152.285,0.9962047
4153.246,1.001668
4154.207,0.9917623
4155.168,0.9949461
4156.129,1.000068
4157.091,0.9887446
4158.052,0.990669
4159.013,0.9978929
4159.974,1.003555
4160.935,1.002572
4161.896,0.997583
4162.857,0.9958634
4163.818,0.9989358
